"Record Date","Country - Currency Description","Exchange Rate","Effective Date"
"2024-09-30","Japan-Yen","142.47","2024-09-30"
"2024-06-30","Japan-Yen","140.04","2024-09-16"
"2024-06-30","Japan-Yen","160.63","2024-06-30"
"2024-03-31","Japan-Yen","151.34","2024-03-31"
"2023-12-31","Japan-Yen","141.47","2023-12-31"
"2023-09-30","Japan-Yen","149.2","2023-09-30"
"2023-06-30","Japan-Yen","144.62","2023-06-30"
"2023-03-31","Japan-Yen","133.16","2023-03-31"
"2022-12-31","Japan-Yen","131.83","2022-12-31"
"2022-09-30","Japan-Yen","144.63","2022-09-30"
"2022-06-30","Japan-Yen","136.27","2022-06-30"
"2022-03-31","Japan-Yen","134.46","2022-06-15"
"2022-03-31","Japan-Yen","121.61","2022-03-31"
"2021-12-31","Japan-Yen","115.04","2021-12-31"
"2021-09-30","Japan-Yen","112.01","2021-09-30"
"2021-06-30","Japan-Yen","110.57","2021-06-30"
"2021-03-31","Japan-Yen","110.71","2021-03-31"
"2020-12-31","Japan-Yen","103.08","2020-12-31"
"2020-09-30","Japan-Yen","105.7","2020-09-30"
"2020-06-30","Japan-Yen","107.75","2020-06-30"
"2020-03-31","Japan-Yen","108.66","2020-03-31"
"2019-12-31","Japan-Yen","108.53","2019-12-31"
"2014-12-31","Japan-Yen","119.45","2014-12-31"
"2014-09-30","Japan-Yen","109.6","2014-09-30"
"2014-06-30","Japan-Yen","101.39","2014-06-30"
"2014-03-31","Japan-Yen","101.88","2014-03-31"
"2013-12-31","Japan-Yen","105.01","2013-12-31"
"2013-09-30","Japan-Yen","97.81","2013-09-30"
"2013-06-30","Japan-Yen","99.0","2013-06-30"
"2013-03-31","Japan-Yen","94.06","2013-03-31"
"2012-12-31","Japan-Yen","86.16","2012-12-31"
"2012-09-30","Japan-Yen","77.66","2012-09-30"
"2012-06-30","Japan-Yen","78.79","2012-06-30"
"2012-03-31","Japan-Yen","82.06","2012-03-31"
"2011-12-31","Japan-Yen","78.0","2011-12-31"
"2011-09-30","Japan-Yen","76.84","2011-09-30"
"2011-06-30","Japan-Yen","80.4","2011-06-30"
"2011-03-31","Japan-Yen","81.87","2011-03-31"
"2010-12-31","Japan-Yen","83.83","2010-12-31"
"2010-09-30","Japan-Yen","84.39","2010-09-30"
"2010-06-30","Japan-Yen","88.66","2010-06-30"
"2010-03-31","Japan-Yen","92.89","2010-03-31"
"2009-12-31","Japan-Yen","92.39","2009-12-31"
"2009-09-30","Japan-Yen","92.79","2009-09-30"
"2009-06-30","Japan-Yen","96.32","2009-06-30"
"2009-03-31","Japan-Yen","97.44","2009-03-31"
"2008-12-31","Japan-Yen","92.65","2008-12-31"
"2008-09-30","Japan-Yen","90.75","2008-09-30"
"2008-06-30","Japan-Yen","105.52","2008-06-30"
"2008-03-31","Japan-Yen","104.15","2008-03-31"
"2007-12-31","Japan-Yen","110.88","2007-12-31"
"2007-09-30","Japan-Yen","116.05","2007-09-30"
"2007-06-30","Japan-Yen","121.79","2007-06-30"
"2007-03-31","Japan-Yen","121.79","2007-03-31"
"2006-12-31","Japan-Yen","119.53","2006-12-31"
"2006-09-30","Japan-Yen","117.16","2006-09-30"
"2006-06-30","Japan-Yen","112.26","2006-06-30"
"2006-03-31","Japan-Yen","116.17","2006-03-31"
"2005-12-31","Japan-Yen","117.94","2005-12-31"
"2005-09-30","Japan-Yen","111.02","2005-09-30"
"2005-06-30","Japan-Yen","107.97","2005-06-30"
"2005-03-31","Japan-Yen","104.26","2005-03-31"
"2004-12-31","Japan-Yen","103.11","2004-12-31"
"2004-09-30","Japan-Yen","108.82","2004-09-30"
"2004-06-30","Japan-Yen","110.19","2004-06-30"
"2004-03-31","Japan-Yen","104.02","2004-03-31"
"2003-12-31","Japan-Yen","107.37","2003-12-31"
"2003-09-30","Japan-Yen","111.35","2003-09-30"
"2003-06-30","Japan-Yen","118.69","2003-06-30"
"2003-03-31","Japan-Yen","118.08","2003-03-31"
"2002-12-31","Japan-Yen","118.77","2002-12-31"
"2002-09-30","Japan-Yen","118.67","2002-09-30"
"2002-06-30","Japan-Yen","124.32","2002-06-30"
"2002-03-31","Japan-Yen","133.84","2002-03-31"
"2001-12-31","Japan-Yen","131.31","2001-12-31"
"2001-09-30","Japan-Yen","118.82","2001-09-30"
"2001-06-30","Japan-Yen","119.01","2001-06-30"
"2001-03-31","Japan-Yen","117.32","2001-03-31"
